ts_code,trade_date,open,high,low,close,vol,amount
300604.SZ,20260416,141.22,154.51,141.22,154.09,307524.1,4617869.922
300604.SZ,20260415,141.0,148.0,139.3,141.21,228753.82,3267359.939
300604.SZ,20260414,137.18,142.3,136.0,139.82,222661.87,3105437.259
300604.SZ,20260413,136.96,139.0,135.01,135.29,149717.0,2044839.134
300604.SZ,20260410,136.07,140.9,135.1,138.05,192344.14,2656317.234
300604.SZ,20260409,128.8,136.16,128.01,134.2,227306.85,3034237.418
300604.SZ,20260408,125.0,131.07,123.35,130.51,253288.04,3227026.734
300604.SZ,20260407,116.5,122.0,115.5,118.98,149195.82,1771605.404
300604.SZ,20260403,117.12,117.5,114.7,115.0,101802.48,1179998.656
300604.SZ,20260402,124.0,124.36,114.55,115.8,211908.75,2497061.999
300604.SZ,20260401,124.0,127.89,123.0,124.48,150864.36,1890043.335
300604.SZ,20260331,125.11,125.6,120.9,121.05,128849.94,1585190.593
300604.SZ,20260330,121.24,126.88,119.8,125.49,162317.87,2005092.873
300604.SZ,20260327,118.91,124.48,117.99,123.09,114829.35,1402868.283
300604.SZ,20260326,123.6,124.89,120.44,120.89,108424.98,1325936.815
300604.SZ,20260325,123.88,127.06,122.01,124.14,168001.48,2097916.466
300604.SZ,20260324,119.0,121.5,116.55,120.92,148130.93,1765495.755
300604.SZ,20260323,121.09,123.35,114.99,117.0,184922.62,2198318.214
300604.SZ,20260320,125.92,128.5,123.55,123.62,176760.25,2229806.654
300604.SZ,20260319,126.0,126.85,123.7,124.35,149601.38,1868534.783
300604.SZ,20260318,124.0,128.85,123.0,128.65,211631.71,2679710.665
300604.SZ,20260317,124.46,126.9,121.21,121.6,151629.85,1877445.684
300604.SZ,20260316,123.98,124.44,118.72,123.58,177541.85,2155423.971
300604.SZ,20260313,123.59,128.1,122.51,124.2,140710.83,1755792.703
300604.SZ,20260312,129.01,129.5,123.25,124.59,175318.43,2203819.369
300604.SZ,20260311,132.14,134.28,127.8,128.97,177041.96,2312495.198
300604.SZ,20260310,130.0,133.76,129.35,132.65,179012.03,2364679.697
300604.SZ,20260309,122.52,127.5,120.3,126.9,217127.96,2678318.081
300604.SZ,20260306,131.58,132.18,128.11,128.95,129521.51,1678860.562
300604.SZ,20260305,133.0,134.85,129.21,130.85,184562.8,2439822.469
300604.SZ,20260304,126.59,131.88,126.59,129.1,163808.64,2120541.217
300604.SZ,20260303,141.3,141.5,128.58,128.9,249157.51,3329332.241
300604.SZ,20260302,140.6,147.12,140.12,140.2,229195.86,3279567.911
300604.SZ,20260227,143.9,146.44,140.7,144.5,249330.34,3570892.859
300604.SZ,20260226,139.84,151.1,133.88,148.2,385161.84,5485692.26
300604.SZ,20260225,134.98,142.5,128.02,139.98,352967.82,4778626.587
300604.SZ,20260224,132.28,134.82,127.23,132.05,204046.59,2674438.018
300604.SZ,20260213,127.98,133.99,127.51,130.59,214777.05,2824150.331
300604.SZ,20260212,130.06,132.5,128.0,129.2,178402.59,2312141.015
300604.SZ,20260211,128.0,130.5,126.78,128.9,148424.21,1916258.561
300604.SZ,20260210,128.5,130.71,126.12,128.2,200861.69,2570741.368
