ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
000028.SZ,20260402,20251231,2.04,2.04,131.9088,131.9088,7.6678,0.5,24.2699,40231112.22,1095695722.62,7840467067.9,1.5398,1.2287,1.2002,3.5887,1.888,88.7328,1.5192,1224203363.96,1656565112.92,3085918290.14,2217176706.1434,2358343283.7034,22762501266.66,454461596.23,4254823562.63,-3547557931.57,15954397388.03,14090609725.1,9630869780.85,25879308116.14,13786056841.76,2.041,33.4372,2.9441,24.7699,0.3115,2.9764,3.9837,4.2373,1.5369,10.6795,89.3205,8.2423,1.5369,6.602,1.3911,0.2492,-0.3953,98.3325,2.0606,2.2564,6.2621,6.26,6.0403,3.4279,2.3349,4.7671,6.2621,3.4279,55.9549,2.2704,2.6641,81.8713,18.1287,32.4961,16.441,71.9106,95.0253,4.9747,0.0628,1.2704,0.6774,4.3739,0.5808,3.7497,,0.0596,142.9775,2.3349,2.3505,888578374.05,2.0554,7.0835,99.3438,0.9655,0.9324,0.2187,11.4899,77.3913,77.3913,-49.9132,163.7988,162.2242,76.7998,88.53,-49.9127,67.8654,5.3223,3.2392,5.3224,-1.2942,-1.2942,2.1172,-55.9313,5.3224
000028.SZ,20251031,20250930,1.72,1.72,99.0441,99.0441,7.6678,0.5,23.9486,34099421.84,923019047.69,5779938445.44,1.4991,1.1953,1.1795,2.4952,1.4001,66.0354,1.1237,1104171163.01,1411393380.27,,-2283136773.1732,-1973693517.1932,23095443807.38,529365182.66,5388379948.78,-257535816.6,15465250141.12,13706218784.56,12426269173.85,26934053590.64,13607248476.45,1.7197,33.1137,-0.832,24.4486,-3.3313,2.5359,-4.1022,-3.5462,1.8493,10.4852,89.5148,7.9659,1.8493,6.4422,1.3061,0.2176,-0.0073,97.9969,2.419,2.5604,5.3027,5.29,5.1138,2.877,2.078,4.1187,7.0703,3.836,57.385,2.3466,2.7179,81.4251,18.5749,30.5886,20.0058,68.4262,94.6515,5.3485,-0.0169,1.3466,0.6352,3.4203,0.533,2.8701,,-0.016,151.3436,2.7707,1.951,903221307.78,2.3903,6.0835,98.0509,1.5928,1.5323,0.6076,-2.6088,-9.9476,-9.9476,-136.1456,-0.8158,-2.861,-10.1754,-9.87,-136.147,-11.7744,4.3033,6.3147,4.3036,-2.3764,-2.3764,-1.8869,-16.4924,1.8123
000028.SZ,20250830,20250630,1.2,1.2,66.1137,66.1137,7.6632,0.5,23.4254,23045745.41,642861567.03,3931786692.71,1.4879,1.1943,1.1751,1.7066,0.9382,43.5489,0.7511,746940836.06,981821363.56,1820759275.12,-1087628445.7829,-927320596.0429,22251800523.99,599658087.77,6324255250.16,-473052748.15,15147691367.58,13399358954.44,11813637473.51,27574677175.2,13316037319.36,1.1965,32.5859,0.0271,23.9254,-1.2791,1.7641,-1.9542,-1.6661,1.9366,10.6852,89.3148,8.1468,1.9366,6.6209,1.2998,0.226,-0.0128,97.9701,2.5179,2.6682,3.7196,3.7,3.5908,2.0041,1.4545,2.8401,7.4392,4.0082,57.8583,2.3729,2.7365,81.0349,18.9651,30.0394,22.935,65.7711,94.131,5.869,0.0005,1.3729,0.6216,2.8677,0.5192,2.3952,,0.0005,147.8917,2.909,1.3592,918717351.2,2.4951,6.8397,97.8353,1.8703,1.8013,0.7266,9.9029,-10.4478,-10.4478,-98.3771,-2.3569,-4.1604,-10.4346,-9.63,-98.3788,-12.1944,2.6408,6.0356,2.641,-2.6184,-2.6184,-1.0292,10.9806,2.0042
000028.SZ,20250425,20250331,0.59,0.59,32.8686,32.8686,7.6551,0.5,23.1843,10571107.76,317427384.37,1892405131.62,1.4846,1.1879,1.16,0.8516,0.4708,21.4966,0.3749,346398370.25,466660402.5,,-2680109752.7337,-2316918246.2437,22339325268.16,611256420.43,5970517377.11,428729824.95,14983974022.23,13102122844.23,12258747882.98,27072460480.5,13181831317.23,0.5893,32.3368,-3.2652,23.6843,-3.2074,0.8385,-4.8154,-4.1629,1.9005,10.3447,89.6553,7.8479,1.9005,6.3997,1.2391,0.2091,-0.0098,98.1064,2.4005,2.551,1.8392,1.84,1.7799,0.9565,0.7126,1.3926,7.3568,3.826,57.8156,2.3705,2.7358,80.2427,19.7573,29.9541,22.0538,66.4791,93.4879,6.5121,-0.0672,1.3705,0.6223,3.0144,0.5181,2.5097,34.9497,-0.0628,148.0762,2.8504,0.6723,932950411.86,2.3961,6.3997,98.1064,1.8392,1.7799,0.7126,-9.934,-15.7143,-15.7143,-186.5719,-19.2762,-20.3403,-15.6319,-14.14,-186.5698,-16.5411,1.8562,5.188,1.8563,-4.1747,-4.1747,-4.1747,156.9594,1.0894
000028.SZ,20250408,20241231,1.15,1.15,133.6385,133.6385,7.6551,0.5,22.5949,61316253.79,581177195.97,8249285818.63,1.515,1.2164,1.179,3.9629,2.0117,85.6685,1.5638,267161706.15,775247966.28,2518992860.77,1934663837.8939,1919649908.3039,20841130975.93,626681669.53,5332648451.94,-2075891210.63,14614070021.81,12773988500.98,9326725060.27,26088047769.76,12853832825.1,1.1544,31.7475,5.878,23.0949,2.3148,1.3929,3.4761,3.4491,0.3186,11.091,88.909,9.0062,0.3186,7.2069,1.4774,0.3219,-1.3371,99.6408,0.771,1.0423,3.6626,3.67,3.313,1.6299,0.4983,1.2245,3.6626,1.6299,56.3557,2.2912,2.7114,79.0153,20.9847,30.7303,20.441,67.7304,92.5447,7.4553,0.1319,1.2913,0.6593,3.3135,0.5453,2.7405,,0.1221,132.808,0.4983,1.3508,968104486.22,0.7737,7.9279,104.2257,-2.3653,-2.4766,-1.7253,11.1119,-59.9303,-59.9303,11.3827,-76.758,-76.732,-59.8255,-62.08,11.3828,-60.4046,1.4628,-0.032,1.4627,-1.4561,-1.4561,-5.1847,-294.8929,1.4627
000028.SZ,20241029,20240930,1.91,1.91,101.4551,101.4551,7.6551,0.5,23.355,41403202.65,1024138901.32,6140028353.72,1.448,1.1493,1.0956,2.6702,1.4657,67.0348,1.1344,1024070322.0,1508403135.82,,-3507322427.6478,-3679389620.8478,22752725605.13,674686345.65,6899078391.55,1465223015.21,14025550361.26,12585333274.9,12491735977.49,28553443621.53,13276881479.31,1.9145,32.5243,2.3018,23.855,-1.3971,2.7102,-6.3017,-6.6109,1.9404,10.8738,89.1262,8.7067,1.9404,6.9781,1.4044,0.3242,-0.0191,98.1864,2.381,2.6713,6.0002,5.99,5.7671,3.0304,2.2012,4.4618,8.0003,4.0405,58.3417,2.4005,2.803,78.2563,21.7437,26.9821,24.162,63.3965,92.6351,7.3649,0.0456,1.4005,0.5969,2.6238,0.4625,2.033,9.5723,0.0422,145.115,2.9349,2.1407,942759106.55,2.4023,6.9514,98.3983,1.7951,1.7433,0.6299,1.8828,-10.7477,-10.7477,-12.5821,-26.2479,-25.4876,-10.4333,-10.39,-12.5814,-16.0192,3.9454,9.2698,3.9453,-0.2112,-0.2112,2.6488,-2.2907,6.6514
000028.SZ,20241029,20240930,1.91,1.91,101.4551,101.4551,7.6551,0.5,23.355,41403202.65,1024138901.32,6140028353.72,1.448,1.1493,1.0956,2.6702,1.4657,67.0348,1.1344,1024070322.0,1508403135.82,,,,22752725605.13,674686345.65,6899078391.55,1465223015.21,14025550361.26,12585333274.9,12491735977.49,28553443621.53,13276881479.31,1.9145,32.5243,2.3018,23.855,-1.3971,2.7102,,,1.9404,10.8738,89.1262,8.7067,1.9404,6.9781,1.4044,0.3242,-0.0191,98.1864,2.381,2.6713,6.0002,5.99,5.7671,3.0304,2.2012,4.4618,8.0003,4.0405,58.3417,2.4005,2.803,78.2563,21.7437,26.9821,24.162,63.3965,92.6351,7.3649,0.0456,1.4005,0.5969,2.6238,0.4625,2.033,9.5723,0.0422,145.115,2.9349,2.1407,942759106.55,2.4023,6.9514,98.3983,1.7951,1.7433,0.6299,1.8828,-10.7477,-10.7477,-12.5821,-26.2479,-25.4876,-10.4333,-10.39,-12.5814,-16.0192,3.9454,9.2698,3.9453,-0.2112,-0.2112,2.6488,-2.2907,6.6514
000028.SZ,20240829,20240630,1.34,1.34,67.8914,67.8914,7.6551,0.5,22.7764,32108692.72,711378482.12,4142844973.32,1.4416,1.1387,1.0795,1.8605,0.9909,44.2184,0.7635,724862735.8,1054004661.97,1920096142.87,-1066932072.9991,-1188867498.6191,22186944345.66,718450409.69,7150903840.14,1144178418.68,13685253497.58,12219553029.94,11698888543.41,28499846632.48,12954826550.18,1.3358,31.9456,1.6698,23.2764,-0.5175,1.8938,-1.917,-2.1361,2.0379,10.964,89.036,8.6934,2.0379,6.9914,1.3834,0.3186,-0.0258,98.0817,2.5111,2.7894,4.225,4.19,4.0425,2.1298,1.556,3.1057,8.45,4.2596,58.4693,2.4079,2.8123,77.6041,22.3959,26.6223,25.091,62.3857,92.0706,7.9294,0.0336,1.4079,0.5916,2.4864,0.4553,1.9138,11.9608,0.0309,140.5982,3.112,1.5024,968328469.89,2.5352,7.378,98.3658,1.9937,1.9203,0.6294,8.3631,-10.0671,-10.0671,-37.47,-26.7354,-25.834,-10.4503,-10.48,-37.4694,-16.3244,2.0959,8.0598,2.096,-1.567,-1.567,-5.1024,-25.5776,7.0201
000028.SZ,20240426,20240331,0.7,0.7,34.3005,34.3005,7.6551,0.5,22.8191,19048277.71,369722432.36,2073383809.24,1.445,1.1476,1.0985,0.9278,0.4996,22.214,0.3853,419342987.17,585759900.12,,-2999226801.7239,-2926757106.1439,22854676243.24,741880953.46,6509623610.08,786223133.22,13715210121.08,12336192824.93,11480232416.03,27928440068.31,12978574337.77,0.6985,31.9883,-1.1394,23.3191,-1.0189,1.0525,-5.3888,-5.2586,2.3369,10.8608,89.1392,8.2025,2.3369,6.6127,1.351,0.2388,-0.0095,97.8034,2.8496,3.0683,2.2078,2.21,2.0996,1.1822,0.9004,1.7593,8.8312,4.7288,58.4302,2.4056,2.8138,77.7454,22.2546,26.6186,23.3082,63.7471,92.0811,7.9189,-0.0229,1.4056,0.5914,2.735,0.4556,2.1069,17.4444,-0.0211,139.9836,3.6016,0.7846,981536599.38,2.8823,6.6127,97.8034,2.2078,2.0996,0.9004,-3.3218,7.6923,7.6923,-332.2936,-5.6132,-4.8813,7.3343,5.1,-401.9951,-0.5965,2.2324,8.3116,2.2324,2.1601,2.1601,2.1601,-15.5936,7.9784
000028.SZ,20240408,20231231,2.87,2.87,135.613,135.613,7.6551,0.5,22.1205,66432229.19,1532823526.34,9052059059.34,1.4944,1.1661,1.0938,4.7284,2.2174,87.9513,1.6738,2105811286.01,2644053786.02,4233269613.17,982413808.995,1066116089.125,20706219330.41,803242531.01,5083792437.45,-1418555431.57,13305477000.27,12031830415.69,9161487376.55,26061632917.84,12589803627.7,2.8734,31.2898,5.2773,22.6205,0.7063,4.7507,1.7651,1.9155,2.5948,11.9931,88.0069,8.8284,2.5948,7.0563,1.5011,0.271,-0.0233,97.21,3.2691,3.5031,9.5362,9.56,9.1401,5.8635,4.3432,8.5416,9.5362,5.8635,55.9021,2.2677,2.6889,76.4541,23.5459,27.9697,19.5068,66.8216,91.5203,8.4797,0.1207,1.2677,0.6549,3.4256,0.5003,2.6172,,0.1104,119.0956,4.3432,3.5465,1014147671.72,3.2768,7.8469,96.8393,2.3822,2.2683,1.0341,7.7901,7.4906,7.4906,-11.7582,6.997,7.0165,7.5703,7.58,14.7127,-0.3913,-16.9285,11.6279,7.9929,2.77,2.77,0.3466,22.1087,7.9929
